,grid,rank,grid_tmp
826,그리드1345,856,1345
1652,그리드2289,868,2289
1719,그리드2365,869,2365
78,그리드233,880,233
472,그리드870,881,870
2216,그리드2965,886,2965
178,그리드420,892,420
1555,그리드2174,902,2174
1045,그리드1585,911,1585
329,그리드679,912,679
1419,그리드2011,927,2011
1822,그리드2486,929,2486
582,그리드1015,930,1015
1574,그리드2193,933,2193
1497,그리드2107,939,2107
47,그리드170,951,170
1864,그리드2537,953,2537
142,그리드357,963,357
1350,그리드1934,977,1934
1817,그리드2481,978,2481
1467,그리드2068,980,2068
454,그리드836,983,836
206,그리드473,984,473
781,그리드1295,988,1295
459,그리드857,1002,857
716,그리드1223,1010,1223
1030,그리드1570,1013,1570
169,그리드411,1014,411
1184,그리드1745,1028,1745
2437,그리드3283,1035,3283
52,그리드175,1036,175
197,그리드464,1039,464
2604,그리드3596,1046,3596
663,그리드1156,1052,1156
1832,그리드2496,1053,2496
542,그리드957,1056,957
129,그리드344,1057,344
1567,그리드2186,1059,2186
401,그리드767,1065,767
2509,그리드3401,1069,3401
903,그리드1427,1078,1427
682,그리드1175,1084,1175
2274,그리드3037,1089,3037
127,그리드342,1091,342
1261,그리드1830,1104,1830
2085,그리드2800,1108,2800
271,그리드582,1109,582
802,그리드1321,1112,1321
1315,그리드1892,1116,1892
1623,그리드2251,1127,2251
674,그리드1167,1131,1167
686,그리드1179,1133,1179
246,그리드535,1134,535
257,그리드568,1140,568
403,그리드769,1143,769
2195,그리드2932,1145,2932
2494,그리드3386,1146,3386
321,그리드654,1147,654
41,그리드164,1151,164
85,그리드240,1158,240
1242,그리드1811,1164,1811
173,그리드415,1166,415
1115,그리드1661,1167,1661
615,그리드1068,1168,1068
1396,그리드1988,1183,1988
1228,그리드1789,1187,1789
492,그리드890,1193,890
1102,그리드1648,1195,1648
978,그리드1512,1203,1512
281,그리드592,1205,592
1847,그리드2511,1207,2511
890,그리드1414,1210,1414
617,그리드1070,1215,1070
758,그리드1272,1219,1272
925,그리드1454,1223,1454
82,그리드237,1229,237
2492,그리드3384,1232,3384
920,그리드1449,1236,1449
1939,그리드2622,1243,2622
1357,그리드1941,1245,1941
1932,그리드2615,1252,2615
1426,그리드2018,1258,2018
907,그리드1431,1260,1431
868,그리드1392,1265,1392
996,그리드1530,1272,1530
2629,그리드3767,1274,3767
2569,그리드3512,1285,3512
2581,그리드3531,1294,3531
1688,그리드2325,1303,2325
2178,그리드2915,1304,2915
229,그리드518,1308,518
518,그리드933,1310,933
368,그리드718,1329,718
29,그리드112,1331,112
2649,그리드3948,1332,3948
250,그리드539,1343,539
844,그리드1363,1353,1363
1348,그리드1932,1361,1932
25,그리드108,1368,108
1230,그리드1791,1369,1791
2096,그리드2811,1378,2811
2125,그리드2851,1380,2851
1994,그리드2688,1386,2688
662,그리드1152,1392,1152
316,그리드649,1399,649
241,그리드530,1401,530
811,그리드1330,1405,1330
1377,그리드1961,1411,1961
1043,그리드1583,1415,1583
2434,그리드3280,1421,3280
1762,그리드2417,1425,2417
742,그리드1249,1427,1249
2184,그리드2921,1446,2921
2627,그리드3765,1451,3765
1532,그리드2142,1459,2142
2321,그리드3100,1461,3100
2501,그리드3393,1462,3393
817,그리드1336,1463,1336
2562,그리드3505,1476,3505
496,그리드894,1484,894
2089,그리드2804,1494,2804
1683,그리드2320,1497,2320
993,그리드1527,1507,1527
494,그리드892,1508,892
703,그리드1209,1521,1209
884,그리드1408,1524,1408
658,그리드1132,1526,1132
661,그리드1135,1536,1135
2626,그리드3711,1540,3711
726,그리드1233,1549,1233
2631,그리드3769,1553,3769
1840,그리드2504,1561,2504
183,그리드450,1566,450
5,그리드40,1567,40
23,그리드106,1568,106
2288,그리드3051,1574,3051
1158,그리드1711,1585,1711
2607,그리드3626,1589,3626
1860,그리드2533,1591,2533
2223,그리드2972,1592,2972
2345,그리드3145,1593,3145
1728,그리드2374,1599,2374
408,그리드774,1600,774
405,그리드771,1611,771
1830,그리드2494,1613,2494
823,그리드1342,1619,1342
7,그리드42,1632,42
1034,그리드1574,1653,1574
1640,그리드2268,1669,2268
2504,그리드3396,1681,3396
1928,그리드2611,1682,2611
594,그리드1047,1683,1047
1686,그리드2323,1691,2323
1744,그리드2390,1693,2390
1970,그리드2664,1696,2664
456,그리드838,1711,838
9,그리드44,1716,44
1326,그리드1903,1723,1903
1871,그리드2544,1724,2544
1019,그리드1553,1727,1553
2519,그리드3411,1730,3411
1484,그리드2085,1734,2085
2127,그리드2853,1743,2853
1949,그리드2632,1746,2632
854,그리드1373,1749,1373
1947,그리드2630,1764,2630
2640,그리드3831,1775,3831
744,그리드1251,1783,1251
1361,그리드1945,1786,1945
1850,그리드2514,1799,2514
631,그리드1105,1809,1105
2477,그리드3346,1817,3346
2616,그리드3654,1819,3654
1232,그리드1793,1827,1793
2609,그리드3645,1844,3645
1255,그리드1824,1845,1824
2579,그리드3529,1846,3529
1465,그리드2066,1853,2066
1259,그리드1828,1857,1828
2271,그리드3034,1861,3034
125,그리드340,1863,340
2651,그리드3950,1867,3950
231,그리드520,1873,520
1528,그리드2138,1877,2138
1930,그리드2613,1881,2613
1337,그리드1914,1883,1914
746,그리드1253,1885,1253
307,그리드640,1889,640
1126,그리드1672,1891,1672
1359,그리드1943,1894,1943
1838,그리드2502,1899,2502
2372,그리드3172,1909,3172
2148,그리드2874,1942,2874
2313,그리드3092,1946,3092
2430,그리드3276,1951,3276
684,그리드1177,1954,1177
1696,그리드2333,1955,2333
748,그리드1255,1960,1255
1222,그리드1783,1965,1783
1365,그리드1949,1967,1949
1842,그리드2506,1969,2506
1520,그리드2130,1974,2130
911,그리드1435,1991,1435
895,그리드1419,1998,1419
1388,그리드1972,2004,1972
2571,그리드3514,2005,3514
2584,그리드3534,2016,3534
2237,그리드2986,2029,2986
1783,그리드2438,2036,2438
2324,그리드3103,2038,3103
897,그리드1421,2044,1421
1151,그리드1704,2046,1704
1542,그리드2152,2072,2152
1128,그리드1674,2073,1674
1021,그리드1555,2076,1555
783,그리드1297,2082,1297
1007,그리드1541,2089,1541
2445,그리드3291,2118,3291
353,그리드703,2127,703
1951,그리드2634,2129,2634
2577,그리드3527,2133,3527
305,그리드638,2137,638
2521,그리드3413,2139,3413
1234,그리드1795,2143,1795
1070,그리드1610,2155,1610
2447,그리드3293,2170,3293
1681,그리드2318,2190,2318
1699,그리드2336,2193,2336
342,그리드692,2199,692
1992,그리드2686,2203,2686
2558,그리드3476,2215,3476
2187,그리드2924,2223,2924
2516,그리드3408,2230,3408
2092,그리드2807,2232,2807
785,그리드1299,2236,1299
1339,그리드1916,2237,1916
2404,그리드3227,2238,3227
815,그리드1334,2246,1334
2051,그리드2755,2247,2755
2290,그리드3053,2258,3053
1226,그리드1787,2267,1787
1363,그리드1947,2268,1947
1086,그리드1632,2270,1632
2239,그리드2988,2271,2988
2328,그리드3107,2279,3107
1852,그리드2516,2295,2516
1495,그리드2096,2299,2096
2486,그리드3355,2311,3355
1597,그리드2216,2314,2216
1442,그리드2034,2325,2034
1701,그리드2338,2330,2338
2443,그리드3289,2338,3289
1595,그리드2214,2340,2214
2374,그리드3174,2350,3174
2355,그리드3155,2352,3155
2087,그리드2802,2385,2802
1120,그리드1666,2392,1666
2199,그리드2936,2395,2936
1122,그리드1668,2400,1668
1599,그리드2218,2404,2218
2573,그리드3523,2410,3523
2330,그리드3109,2432,3109
1005,그리드1539,2433,1539
1905,그리드2578,2439,2578
1804,그리드2459,2453,2459
1540,그리드2150,2455,2150
2377,그리드3177,2476,3177
2182,그리드2919,2479,2919
2049,그리드2753,2487,2753
2488,그리드3357,2488,3357
1953,그리드2636,2499,2636
2365,그리드3165,2500,3165
1907,그리드2580,2511,2580
2004,그리드2698,2524,2698
1793,그리드2448,2526,2448
2547,그리드3465,2533,3465
2104,그리드2819,2540,2819
2102,그리드2817,2544,2817
1220,그리드1781,2545,1781
2006,그리드2700,2548,2700
2203,그리드2940,2573,2940
2094,그리드2809,2584,2809
1895,그리드2568,2587,2568
2201,그리드2938,2588,2938
2297,그리드3060,2597,3060
2295,그리드3058,2610,3058
