,grid,rank,grid_tmp
2326,2652,2652,2652
1802,2652,2652,2652
1439,2652,2652,2652
756,2652,2652,2652
2251,2652,2652,2652
2576,2652,2652,2652
1175,2652,2652,2652
2152,2652,2652,2652
2475,2652,2652,2652
1272,2652,2652,2652
2230,2652,2652,2652
2476,2652,2652,2652
2364,2652,2652,2652
2137,2652,2652,2652
2247,2652,2652,2652
2597,2652,2652,2652
1273,2652,2652,2652
2275,2652,2652,2652
2335,2652,2652,2652
2595,2652,2652,2652
2291,2652,2652,2652
2594,2652,2652,2652
2292,2652,2652,2652
2319,2652,2652,2652
2336,2652,2652,2652
2612,2652,2652,2652
2246,2652,2652,2652
2401,2652,2652,2652
2337,2652,2652,2652
2512,2652,2652,2652
2339,2652,2652,2652
1741,2652,2652,2652
2279,2652,2652,2652
2294,2652,2652,2652
2362,2652,2652,2652
2408,2652,2652,2652
2624,2652,2652,2652
2229,2652,2652,2652
2574,2652,2652,2652
1490,2652,2652,2652
2192,2652,2652,2652
2325,2652,2652,2652
2144,2652,2652,2652
2281,2652,2652,2652
1843,2652,2652,2652
2375,2652,2652,2652
1894,2652,2652,2652
706,2652,2652,2652
2551,2652,2652,2652
2052,2652,2652,2652
2439,2652,2652,2652
2101,2652,2652,2652
2248,2652,2652,2652
2140,2652,2652,2652
1432,2652,2652,2652
2197,2652,2652,2652
2398,2652,2652,2652
725,2652,2652,2652
1955,2652,2652,2652
2186,2652,2652,2652
2465,2652,2652,2652
2003,2652,2652,2652
2466,2652,2652,2652
2005,2652,2652,2652
2413,2652,2652,2652
1695,2652,2652,2652
2545,2652,2652,2652
853,2652,2652,2652
2552,2652,2652,2652
1854,2652,2652,2652
1856,2652,2652,2652
2196,2652,2652,2652
2428,2652,2652,2652
1004,2652,2652,2652
1060,2652,2652,2652
2510,2652,2652,2652
2002,2652,2652,2652
1121,2652,2652,2652
1790,2652,2652,2652
2429,2652,2652,2652
2464,2652,2652,2652
1954,2652,2652,2652
1801,2652,2652,2652
1956,2652,2652,2652
759,2652,2652,2652
2241,2652,2652,2652
2070,2652,2652,2652
2151,2652,2652,2652
2245,2652,2652,2652
1791,2652,2652,2652
2039,2652,2652,2652
2105,2652,2652,2652
2287,2652,2652,2652
2154,2652,2652,2652
2306,2652,2652,2652
2399,2652,2652,2652
1742,2652,2652,2652
2056,2652,2652,2652
2153,2652,2652,2652
1692,2652,2652,2652
705,2652,2652,2652
2338,2652,2652,2652
2376,2652,2652,2652
1409,2652,2652,2652
2055,2652,2652,2652
814,2652,2652,2652
1797,2652,2652,2652
2240,2652,2652,2652
2198,2652,2652,2652
2053,2652,2652,2652
2500,2652,2652,2652
2171,2652,2652,2652
2190,2652,2652,2652
2235,2652,2652,2652
2359,2652,2652,2652
2451,2652,2652,2652
2054,2652,2652,2652
2103,2652,2652,2652
2181,2652,2652,2652
1596,2652,2652,2652
2138,2652,2652,2652
958,2652,2652,2652
1737,2652,2652,2652
956,2652,2652,2652
1851,2652,2652,2652
2457,2652,2652,2652
1169,2652,2652,2652
2440,2652,2652,2652
732,2652,2652,2652
2518,2652,2652,2652
1915,2652,2652,2652
1182,2652,2652,2652
1335,2652,2652,2652
2289,2652,2652,2652
1098,2652,2652,2652
1800,2652,2652,2652
1415,2652,2652,2652
1181,2652,2652,2652
1517,2652,2652,2652
1116,2652,2652,2652
1996,2652,2652,2652
2169,2652,2652,2652
396,2652,2652,2652
962,2652,2652,2652
1013,2652,2652,2652
1067,2652,2652,2652
32,2652,2652,2652
2435,2652,2652,2652
729,2652,2652,2652
1848,2652,2652,2652
2527,2652,2652,2652
2176,2652,2652,2652
2619,2652,2652,2652
1463,2652,2652,2652
1440,2652,2652,2652
731,2652,2652,2652
1736,2652,2652,2652
1483,2652,2652,2652
2244,2652,2652,2652
194,2652,2652,2652
2503,2652,2652,2652
1984,2652,2652,2652
908,2652,2652,2652
2322,2652,2652,2652
590,2652,2652,2652
1066,2652,2652,2652
2484,2652,2652,2652
1127,2652,2652,2652
2514,2652,2652,2652
2555,2652,2652,2652
192,2652,2652,2652
306,2652,2652,2652
1138,2652,2652,2652
2572,2652,2652,2652
2361,2652,2652,2652
2164,2652,2652,2652
1191,2652,2652,2652
1274,2652,2652,2652
1481,2652,2652,2652
1311,2652,2652,2652
1691,2652,2652,2652
2082,2652,2652,2652
2583,2652,2652,2652
2332,2652,2652,2652
2126,2652,2652,2652
303,2652,2652,2652
1869,2652,2652,2652
1142,2652,2652,2652
1645,2652,2652,2652
2622,2652,2652,2652
2592,2652,2652,2652
1141,2652,2652,2652
2113,2652,2652,2652
1948,2652,2652,2652
899,2652,2652,2652
595,2652,2652,2652
747,2652,2652,2652
745,2652,2652,2652
1073,2652,2652,2652
1816,2652,2652,2652
843,2652,2652,2652
2483,2652,2652,2652
1267,2652,2652,2652
2646,2652,2652,2652
856,2652,2652,2652
1891,2652,2652,2652
2212,2652,2652,2652
1153,2652,2652,2652
2538,2652,2652,2652
1733,2652,2652,2652
824,2652,2652,2652
2431,2652,2652,2652
1998,2652,2652,2652
1417,2652,2652,2652
1815,2652,2652,2652
2420,2652,2652,2652
1747,2652,2652,2652
2456,2652,2652,2652
2312,2652,2652,2652
2601,2652,2652,2652
2395,2652,2652,2652
1573,2652,2652,2652
1881,2652,2652,2652
2133,2652,2652,2652
1506,2652,2652,2652
1945,2652,2652,2652
1739,2652,2652,2652
2467,2652,2652,2652
959,2652,2652,2652
1631,2652,2652,2652
1833,2652,2652,2652
2371,2652,2652,2652
1788,2652,2652,2652
801,2652,2652,2652
2315,2652,2652,2652
2185,2652,2652,2652
1389,2652,2652,2652
1735,2652,2652,2652
1732,2652,2652,2652
2520,2652,2652,2652
2540,2652,2652,2652
2047,2652,2652,2652
1796,2652,2652,2652
1778,2652,2652,2652
2554,2652,2652,2652
386,2652,2652,2652
2352,2652,2652,2652
1266,2652,2652,2652
1074,2652,2652,2652
2146,2652,2652,2652
1629,2652,2652,2652
2183,2652,2652,2652
966,2652,2652,2652
2194,2652,2652,2652
1310,2652,2652,2652
2128,2652,2652,2652
2268,2652,2652,2652
955,2652,2652,2652
2585,2652,2652,2652
308,2652,2652,2652
2122,2652,2652,2652
1390,2652,2652,2652
821,2652,2652,2652
1522,2652,2652,2652
950,2652,2652,2652
1412,2652,2652,2652
1799,2652,2652,2652
2042,2652,2652,2652
2283,2652,2652,2652
894,2652,2652,2652
1032,2652,2652,2652
1340,2652,2652,2652
2367,2652,2652,2652
1592,2652,2652,2652
1017,2652,2652,2652
2177,2652,2652,2652
2048,2652,2652,2652
1124,2652,2652,2652
1069,2652,2652,2652
2478,2652,2652,2652
2044,2652,2652,2652
1697,2652,2652,2652
2221,2652,2652,2652
2000,2652,2652,2652
760,2652,2652,2652
191,2652,2652,2652
2043,2652,2652,2652
158,2652,2652,2652
952,2652,2652,2652
1018,2652,2652,2652
65,2652,2652,2652
963,2652,2652,2652
1630,2652,2652,2652
1726,2652,2652,2652
2373,2652,2652,2652
2448,2652,2652,2652
2098,2652,2652,2652
64,2652,2652,2652
1649,2652,2652,2652
2188,2652,2652,2652
2170,2652,2652,2652
1700,2652,2652,2652
2441,2652,2652,2652
2543,2652,2652,2652
1689,2652,2652,2652
1952,2652,2652,2652
2189,2652,2652,2652
2363,2652,2652,2652
1798,2652,2652,2652
1647,2652,2652,2652
94,2652,2652,2652
1061,2652,2652,2652
1392,2652,2652,2652
1413,2652,2652,2652
1646,2652,2652,2652
1489,2652,2652,2652
2093,2652,2652,2652
816,2652,2652,2652
1594,2652,2652,2652
2149,2652,2652,2652
1410,2652,2652,2652
2523,2652,2652,2652
2191,2652,2652,2652
2219,2652,2652,2652
1516,2652,2652,2652
2284,2652,2652,2652
1227,2652,2652,2652
1698,2652,2652,2652
2282,2652,2652,2652
2147,2652,2652,2652
1441,2652,2652,2652
1492,2652,2652,2652
1071,2652,2652,2652
2333,2652,2652,2652
2090,2652,2652,2652
1521,2652,2652,2652
2119,2652,2652,2652
1920,2652,2652,2652
2522,2652,2652,2652
2238,2652,2652,2652
1114,2652,2652,2652
2095,2652,2652,2652
1312,2652,2652,2652
1472,2652,2652,2652
2556,2652,2652,2652
1233,2652,2652,2652
1062,2652,2652,2652
1942,2652,2652,2652
269,2652,2652,2652
1682,2652,2652,2652
1849,2652,2652,2652
258,2652,2652,2652
1364,2652,2652,2652
1921,2652,2652,2652
1031,2652,2652,2652
1900,2652,2652,2652
348,2652,2652,2652
2236,2652,2652,2652
1075,2652,2652,2652
66,2652,2652,2652
2409,2652,2652,2652
896,2652,2652,2652
1088,2652,2652,2652
1491,2652,2652,2652
2473,2652,2652,2652
1129,2652,2652,2652
1172,2652,2652,2652
1456,2652,2652,2652
883,2652,2652,2652
1901,2652,2652,2652
2446,2652,2652,2652
1306,2652,2652,2652
2046,2652,2652,2652
2392,2652,2652,2652
1287,2652,2652,2652
2557,2652,2652,2652
1748,2652,2652,2652
1814,2652,2652,2652
2269,2652,2652,2652
1593,2652,2652,2652
1673,2652,2652,2652
1334,2652,2652,2652
1087,2652,2652,2652
1777,2652,2652,2652
1338,2652,2652,2652
1902,2652,2652,2652
2220,2652,2652,2652
2234,2652,2652,2652
1059,2652,2652,2652
1203,2652,2652,2652
2485,2652,2652,2652
1749,2652,2652,2652
2227,2652,2652,2652
2100,2652,2652,2652
2273,2652,2652,2652
2508,2652,2652,2652
1085,2652,2652,2652
2358,2652,2652,2652
95,2652,2652,2652
230,2652,2652,2652
2316,2652,2652,2652
1387,2652,2652,2652
1727,2652,2652,2652
2033,2652,2652,2652
2278,2652,2652,2652
798,2652,2652,2652
1285,2652,2652,2652
1286,2652,2652,2652
1690,2652,2652,2652
2481,2652,2652,2652
2232,2652,2652,2652
113,2652,2652,2652
727,2652,2652,2652
1038,2652,2652,2652
1602,2652,2652,2652
1639,2652,2652,2652
1613,2652,2652,2652
679,2652,2652,2652
340,2652,2652,2652
296,2652,2652,2652
2107,2652,2652,2652
1661,2652,2652,2652
1436,2652,2652,2652
509,2652,2652,2652
510,2652,2652,2652
14,2652,2652,2652
1027,2652,2652,2652
929,2652,2652,2652
786,2652,2652,2652
370,2652,2652,2652
179,2652,2652,2652
1610,2652,2652,2652
999,2652,2652,2652
1562,2652,2652,2652
1449,2652,2652,2652
299,2652,2652,2652
427,2652,2652,2652
2252,2652,2652,2652
739,2652,2652,2652
2009,2652,2652,2652
2386,2652,2652,2652
199,2652,2652,2652
1618,2652,2652,2652
1655,2652,2652,2652
860,2652,2652,2652
1303,2652,2652,2652
1278,2652,2652,2652
382,2652,2652,2652
2300,2652,2652,2652
2158,2652,2652,2652
327,2652,2652,2652
2499,2652,2652,2652
379,2652,2652,2652
2059,2652,2652,2652
1342,2652,2652,2652
914,2652,2652,2652
234,2652,2652,2652
794,2652,2652,2652
1199,2652,2652,2652
1606,2652,2652,2652
488,2652,2652,2652
974,2652,2652,2652
1554,2652,2652,2652
482,2652,2652,2652
1279,2652,2652,2652
1708,2652,2652,2652
2180,2652,2652,2652
1558,2652,2652,2652
1093,2652,2652,2652
1055,2652,2652,2652
2253,2652,2652,2652
555,2652,2652,2652
2389,2652,2652,2652
1962,2652,2652,2652
836,2652,2652,2652
478,2652,2652,2652
775,2652,2652,2652
1213,2652,2652,2652
1250,2652,2652,2652
1423,2652,2652,2652
1355,2652,2652,2652
1482,2652,2652,2652
737,2652,2652,2652
2267,2652,2652,2652
528,2652,2652,2652
2071,2652,2652,2652
1084,2652,2652,2652
2013,2652,2652,2652
954,2652,2652,2652
104,2652,2652,2652
154,2652,2652,2652
613,2652,2652,2652
2417,2652,2652,2652
1559,2652,2652,2652
2040,2652,2652,2652
719,2652,2652,2652
1405,2652,2652,2652
1714,2652,2652,2652
260,2652,2652,2652
2254,2652,2652,2652
2383,2652,2652,2652
394,2652,2652,2652
991,2652,2652,2652
524,2652,2652,2652
469,2652,2652,2652
1451,2652,2652,2652
1755,2652,2652,2652
166,2652,2652,2652
1403,2652,2652,2652
122,2652,2652,2652
692,2652,2652,2652
148,2652,2652,2652
442,2652,2652,2652
1327,2652,2652,2652
1200,2652,2652,2652
1246,2652,2652,2652
2155,2652,2652,2652
987,2652,2652,2652
365,2652,2652,2652
275,2652,2652,2652
376,2652,2652,2652
2157,2652,2652,2652
972,2652,2652,2652
1304,2652,2652,2652
2023,2652,2652,2652
2156,2652,2652,2652
612,2652,2652,2652
108,2652,2652,2652
1917,2652,2652,2652
228,2652,2652,2652
934,2652,2652,2652
1407,2652,2652,2652
1712,2652,2652,2652
101,2652,2652,2652
522,2652,2652,2652
1280,2652,2652,2652
123,2652,2652,2652
1166,2652,2652,2652
1959,2652,2652,2652
2469,2652,2652,2652
75,2652,2652,2652
861,2652,2652,2652
2073,2652,2652,2652
392,2652,2652,2652
485,2652,2652,2652
133,2652,2652,2652
462,2652,2652,2652
644,2652,2652,2652
944,2652,2652,2652
1715,2652,2652,2652
984,2652,2652,2652
2114,2652,2652,2652
1863,2652,2652,2652
1512,2652,2652,2652
2302,2652,2652,2652
765,2652,2652,2652
532,2652,2652,2652
2217,2652,2652,2652
399,2652,2652,2652
171,2652,2652,2652
1397,2652,2652,2652
1910,2652,2652,2652
531,2652,2652,2652
857,2652,2652,2652
1301,2652,2652,2652
302,2652,2652,2652
116,2652,2652,2652
1707,2652,2652,2652
1223,2652,2652,2652
1933,2652,2652,2652
1709,2652,2652,2652
1859,2652,2652,2652
2218,2652,2652,2652
151,2652,2652,2652
710,2652,2652,2652
502,2652,2652,2652
420,2652,2652,2652
1185,2652,2652,2652
2350,2652,2652,2652
547,2652,2652,2652
444,2652,2652,2652
1379,2652,2652,2652
1553,2652,2652,2652
1218,2652,2652,2652
1857,2652,2652,2652
1133,2652,2652,2652
776,2652,2652,2652
1781,2652,2652,2652
1064,2652,2652,2652
791,2652,2652,2652
936,2652,2652,2652
1236,2652,2652,2652
1204,2652,2652,2652
804,2652,2652,2652
2387,2652,2652,2652
2462,2652,2652,2652
551,2652,2652,2652
805,2652,2652,2652
1826,2652,2652,2652
967,2652,2652,2652
1705,2652,2652,2652
515,2652,2652,2652
437,2652,2652,2652
1564,2652,2652,2652
1302,2652,2652,2652
749,2652,2652,2652
1552,2652,2652,2652
723,2652,2652,2652
863,2652,2652,2652
1679,2652,2652,2652
436,2652,2652,2652
480,2652,2652,2652
373,2652,2652,2652
460,2652,2652,2652
1385,2652,2652,2652
312,2652,2652,2652
220,2652,2652,2652
864,2652,2652,2652
1811,2652,2652,2652
1979,2652,2652,2652
274,2652,2652,2652
1372,2652,2652,2652
1980,2652,2652,2652
74,2652,2652,2652
2433,2652,2652,2652
640,2652,2652,2652
1395,2652,2652,2652
1346,2652,2652,2652
155,2652,2652,2652
1498,2652,2652,2652
339,2652,2652,2652
2109,2652,2652,2652
1076,2652,2652,2652
1782,2652,2652,2652
1077,2652,2652,2652
1317,2652,2652,2652
1960,2652,2652,2652
375,2652,2652,2652
200,2652,2652,2652
418,2652,2652,2652
2011,2652,2652,2652
1488,2652,2652,2652
439,2652,2652,2652
717,2652,2652,2652
845,2652,2652,2652
1333,2652,2652,2652
1446,2652,2652,2652
2647,2652,2652,2652
1081,2652,2652,2652
1612,2652,2652,2652
416,2652,2652,2652
1424,2652,2652,2652
1569,2652,2652,2652
2,2652,2652,2652
1148,2652,2652,2652
389,2652,2652,2652
1524,2652,2652,2652
842,2652,2652,2652
165,2652,2652,2652
790,2652,2652,2652
1549,2652,2652,2652
1665,2652,2652,2652
1888,2652,2652,2652
877,2652,2652,2652
969,2652,2652,2652
1289,2652,2652,2652
1961,2652,2652,2652
789,2652,2652,2652
1619,2652,2652,2652
1052,2652,2652,2652
1656,2652,2652,2652
1351,2652,2652,2652
110,2652,2652,2652
916,2652,2652,2652
1711,2652,2652,2652
1186,2652,2652,2652
1341,2652,2652,2652
572,2652,2652,2652
106,2652,2652,2652
641,2652,2652,2652
865,2652,2652,2652
479,2652,2652,2652
2215,2652,2652,2652
917,2652,2652,2652
1474,2652,2652,2652
2298,2652,2652,2652
961,2652,2652,2652
1300,2652,2652,2652
481,2652,2652,2652
653,2652,2652,2652
1565,2652,2652,2652
438,2652,2652,2652
740,2652,2652,2652
1215,2652,2652,2652
1601,2652,2652,2652
1759,2652,2652,2652
623,2652,2652,2652
1040,2652,2652,2652
471,2652,2652,2652
1617,2652,2652,2652
2534,2652,2652,2652
1926,2652,2652,2652
529,2652,2652,2652
1720,2652,2652,2652
714,2652,2652,2652
1111,2652,2652,2652
610,2652,2652,2652
943,2652,2652,2652
602,2652,2652,2652
226,2652,2652,2652
290,2652,2652,2652
118,2652,2652,2652
484,2652,2652,2652
190,2652,2652,2652
1666,2652,2652,2652
1406,2652,2652,2652
160,2652,2652,2652
1486,2652,2652,2652
289,2652,2652,2652
443,2652,2652,2652
820,2652,2652,2652
2265,2652,2652,2652
2497,2652,2652,2652
1873,2652,2652,2652
2214,2652,2652,2652
214,2652,2652,2652
875,2652,2652,2652
648,2652,2652,2652
227,2652,2652,2652
333,2652,2652,2652
1094,2652,2652,2652
645,2652,2652,2652
2310,2652,2652,2652
1487,2652,2652,2652
255,2652,2652,2652
1163,2652,2652,2652
520,2652,2652,2652
1539,2652,2652,2652
2459,2652,2652,2652
1161,2652,2652,2652
1669,2652,2652,2652
1002,2652,2652,2652
264,2652,2652,2652
506,2652,2652,2652
1353,2652,2652,2652
1823,2652,2652,2652
792,2652,2652,2652
298,2652,2652,2652
1974,2652,2652,2652
1112,2652,2652,2652
711,2652,2652,2652
217,2652,2652,2652
1721,2652,2652,2652
1511,2652,2652,2652
153,2652,2652,2652
562,2652,2652,2652
664,2652,2652,2652
486,2652,2652,2652
311,2652,2652,2652
2018,2652,2652,2652
2308,2652,2652,2652
604,2652,2652,2652
847,2652,2652,2652
1536,2652,2652,2652
1717,2652,2652,2652
1329,2652,2652,2652
611,2652,2652,2652
1588,2652,2652,2652
561,2652,2652,2652
291,2652,2652,2652
567,2652,2652,2652
1383,2652,2652,2652
152,2652,2652,2652
930,2652,2652,2652
2636,2652,2652,2652
2635,2652,2652,2652
549,2652,2652,2652
2067,2652,2652,2652
465,2652,2652,2652
767,2652,2652,2652
215,2652,2652,2652
2642,2652,2652,2652
1460,2652,2652,2652
380,2652,2652,2652
1382,2652,2652,2652
2385,2652,2652,2652
422,2652,2652,2652
2020,2652,2652,2652
607,2652,2652,2652
647,2652,2652,2652
2069,2652,2652,2652
568,2652,2652,2652
646,2652,2652,2652
1196,2652,2652,2652
569,2652,2652,2652
689,2652,2652,2652
734,2652,2652,2652
1197,2652,2652,2652
2019,2652,2652,2652
216,2652,2652,2652
1144,2652,2652,2652
2118,2652,2652,2652
891,2652,2652,2652
87,2652,2652,2652
1824,2652,2652,2652
1537,2652,2652,2652
1968,2652,2652,2652
1091,2652,2652,2652
425,2652,2652,2652
2016,2652,2652,2652
876,2652,2652,2652
334,2652,2652,2652
2173,2652,2652,2652
1590,2652,2652,2652
563,2652,2652,2652
1722,2652,2652,2652
1825,2652,2652,2652
690,2652,2652,2652
986,2652,2652,2652
1485,2652,2652,2652
1195,2652,2652,2652
63,2652,2652,2652
1434,2652,2652,2652
946,2652,2652,2652
1975,2652,2652,2652
1589,2652,2652,2652
1966,2652,2652,2652
1925,2652,2652,2652
777,2652,2652,2652
2066,2652,2652,2652
985,2652,2652,2652
292,2652,2652,2652
1143,2652,2652,2652
1924,2652,2652,2652
1723,2652,2652,2652
932,2652,2652,2652
947,2652,2652,2652
2025,2652,2652,2652
38,2652,2652,2652
1510,2652,2652,2652
262,2652,2652,2652
2058,2652,2652,2652
2028,2652,2652,2652
372,2652,2652,2652
687,2652,2652,2652
1662,2652,2652,2652
564,2652,2652,2652
1216,2652,2652,2652
461,2652,2652,2652
1054,2652,2652,2652
470,2652,2652,2652
1408,2652,2652,2652
1909,2652,2652,2652
1533,2652,2652,2652
2031,2652,2652,2652
1757,2652,2652,2652
841,2652,2652,2652
107,2652,2652,2652
120,2652,2652,2652
124,2652,2652,2652
1092,2652,2652,2652
566,2652,2652,2652
2348,2652,2652,2652
1458,2652,2652,2652
677,2652,2652,2652
400,2652,2652,2652
1171,2652,2652,2652
691,2652,2652,2652
415,2652,2652,2652
2311,2652,2652,2652
433,2652,2652,2652
693,2652,2652,2652
600,2652,2652,2652
570,2652,2652,2652
735,2652,2652,2652
1566,2652,2652,2652
2162,2652,2652,2652
313,2652,2652,2652
2304,2652,2652,2652
1560,2652,2652,2652
2030,2652,2652,2652
328,2652,2652,2652
639,2652,2652,2652
2008,2652,2652,2652
553,2652,2652,2652
530,2652,2652,2652
1053,2652,2652,2652
2259,2652,2652,2652
1983,2652,2652,2652
945,2652,2652,2652
2205,2652,2652,2652
525,2652,2652,2652
483,2652,2652,2652
1911,2652,2652,2652
988,2652,2652,2652
1509,2652,2652,2652
185,2652,2652,2652
544,2652,2652,2652
822,2652,2652,2652
1530,2652,2652,2652
1109,2652,2652,2652
556,2652,2652,2652
202,2652,2652,2652
225,2652,2652,2652
1026,2652,2652,2652
1198,2652,2652,2652
2065,2652,2652,2652
2211,2652,2652,2652
2007,2652,2652,2652
565,2652,2652,2652
1108,2652,2652,2652
652,2652,2652,2652
223,2652,2652,2652
1551,2652,2652,2652
1774,2652,2652,2652
2074,2652,2652,2652
1937,2652,2652,2652
1967,2652,2652,2652
1957,2652,2652,2652
1499,2652,2652,2652
1985,2652,2652,2652
2526,2652,2652,2652
637,2652,2652,2652
2014,2652,2652,2652
1500,2652,2652,2652
421,2652,2652,2652
609,2652,2652,2652
650,2652,2652,2652
253,2652,2652,2652
678,2652,2652,2652
2207,2652,2652,2652
62,2652,2652,2652
527,2652,2652,2652
989,2652,2652,2652
1165,2652,2652,2652
1667,2652,2652,2652
1189,2652,2652,2652
2159,2652,2652,2652
188,2652,2652,2652
819,2652,2652,2652
849,2652,2652,2652
90,2652,2652,2652
1535,2652,2652,2652
548,2652,2652,2652
2461,2652,2652,2652
2015,2652,2652,2652
2261,2652,2652,2652
423,2652,2652,2652
1768,2652,2652,2652
2027,2652,2652,2652
1615,2652,2652,2652
2121,2652,2652,2652
2460,2652,2652,2652
584,2652,2652,2652
507,2652,2652,2652
1877,2652,2652,2652
2117,2652,2652,2652
170,2652,2652,2652
356,2652,2652,2652
1457,2652,2652,2652
990,2652,2652,2652
186,2652,2652,2652
2106,2652,2652,2652
546,2652,2652,2652
1448,2652,2652,2652
184,2652,2652,2652
294,2652,2652,2652
137,2652,2652,2652
606,2652,2652,2652
511,2652,2652,2652
635,2652,2652,2652
848,2652,2652,2652
196,2652,2652,2652
300,2652,2652,2652
521,2652,2652,2652
1000,2652,2652,2652
669,2652,2652,2652
224,2652,2652,2652
1908,2652,2652,2652
1971,2652,2652,2652
713,2652,2652,2652
1146,2652,2652,2652
1775,2652,2652,2652
1513,2652,2652,2652
2021,2652,2652,2652
540,2652,2652,2652
901,2652,2652,2652
1429,2652,2652,2652
976,2652,2652,2652
977,2652,2652,2652
1202,2652,2652,2652
504,2652,2652,2652
245,2652,2652,2652
2586,2652,2652,2652
1576,2652,2652,2652
1455,2652,2652,2652
921,2652,2652,2652
870,2652,2652,2652
541,2652,2652,2652
283,2652,2652,2652
114,2652,2652,2652
26,2652,2652,2652
1110,2652,2652,2652
1089,2652,2652,2652
592,2652,2652,2652
599,2652,2652,2652
1375,2652,2652,2652
207,2652,2652,2652
222,2652,2652,2652
2161,2652,2652,2652
1132,2652,2652,2652
1208,2652,2652,2652
1399,2652,2652,2652
539,2652,2652,2652
922,2652,2652,2652
239,2652,2652,2652
1889,2652,2652,2652
2588,2652,2652,2652
1378,2652,2652,2652
557,2652,2652,2652
1136,2652,2652,2652
134,2652,2652,2652
889,2652,2652,2652
1029,2652,2652,2652
2228,2652,2652,2652
70,2652,2652,2652
54,2652,2652,2652
249,2652,2652,2652
1065,2652,2652,2652
1556,2652,2652,2652
1037,2652,2652,2652
244,2652,2652,2652
685,2652,2652,2652
2575,2652,2652,2652
446,2652,2652,2652
886,2652,2652,2652
2160,2652,2652,2652
499,2652,2652,2652
575,2652,2652,2652
1295,2652,2652,2652
1425,2652,2652,2652
320,2652,2652,2652
1170,2652,2652,2652
769,2652,2652,2652
1159,2652,2652,2652
474,2652,2652,2652
176,2652,2652,2652
67,2652,2652,2652
825,2652,2652,2652
277,2652,2652,2652
869,2652,2652,2652
1529,2652,2652,2652
2648,2652,2652,2652
2062,2652,2652,2652
593,2652,2652,2652
411,2652,2652,2652
957,2652,2652,2652
2391,2652,2652,2652
177,2652,2652,2652
1913,2652,2652,2652
2426,2652,2652,2652
1884,2652,2652,2652
402,2652,2652,2652
128,2652,2652,2652
1693,2652,2652,2652
68,2652,2652,2652
174,2652,2652,2652
878,2652,2652,2652
57,2652,2652,2652
616,2652,2652,2652
1063,2652,2652,2652
204,2652,2652,2652
27,2652,2652,2652
788,2652,2652,2652
918,2652,2652,2652
2528,2652,2652,2652
1167,2652,2652,2652
2422,2652,2652,2652
458,2652,2652,2652
175,2652,2652,2652
203,2652,2652,2652
1987,2652,2652,2652
397,2652,2652,2652
676,2652,2652,2652
1870,2652,2652,2652
284,2652,2652,2652
1763,2652,2652,2652
1024,2652,2652,2652
1428,2652,2652,2652
1083,2652,2652,2652
2530,2652,2652,2652
837,2652,2652,2652
1276,2652,2652,2652
2343,2652,2652,2652
1812,2652,2652,2652
96,2652,2652,2652
1298,2652,2652,2652
1899,2652,2652,2652
1862,2652,2652,2652
1140,2652,2652,2652
2111,2652,2652,2652
211,2652,2652,2652
1299,2652,2652,2652
829,2652,2652,2652
45,2652,2652,2652
2116,2652,2652,2652
1343,2652,2652,2652
354,2652,2652,2652
618,2652,2652,2652
709,2652,2652,2652
2115,2652,2652,2652
447,2652,2652,2652
1316,2652,2652,2652
501,2652,2652,2652
1898,2652,2652,2652
1352,2652,2652,2652
1188,2652,2652,2652
1628,2652,2652,2652
28,2652,2652,2652
533,2652,2652,2652
1384,2652,2652,2652
1402,2652,2652,2652
2303,2652,2652,2652
1099,2652,2652,2652
2213,2652,2652,2652
1381,2652,2652,2652
112,2652,2652,2652
2168,2652,2652,2652
1035,2652,2652,2652
924,2652,2652,2652
516,2652,2652,2652
576,2652,2652,2652
278,2652,2652,2652
1504,2652,2652,2652
131,2652,2652,2652
84,2652,2652,2652
351,2652,2652,2652
1874,2652,2652,2652
757,2652,2652,2652
2605,2652,2652,2652
2472,2652,2652,2652
517,2652,2652,2652
1872,2652,2652,2652
1008,2652,2652,2652
1663,2652,2652,2652
83,2652,2652,2652
534,2652,2652,2652
410,2652,2652,2652
1452,2652,2652,2652
44,2652,2652,2652
1229,2652,2652,2652
240,2652,2652,2652
1050,2652,2652,2652
1318,2652,2652,2652
696,2652,2652,2652
1430,2652,2652,2652
1254,2652,2652,2652
310,2652,2652,2652
100,2652,2652,2652
2351,2652,2652,2652
621,2652,2652,2652
2634,2652,2652,2652
1297,2652,2652,2652
807,2652,2652,2652
1582,2652,2652,2652
2132,2652,2652,2652
622,2652,2652,2652
512,2652,2652,2652
1660,2652,2652,2652
1296,2652,2652,2652
1010,2652,2652,2652
440,2652,2652,2652
267,2652,2652,2652
493,2652,2652,2652
130,2652,2652,2652
655,2652,2652,2652
1580,2652,2652,2652
2305,2652,2652,2652
597,2652,2652,2652
24,2652,2652,2652
596,2652,2652,2652
2083,2652,2652,2652
2174,2652,2652,2652
2243,2652,2652,2652
2453,2652,2652,2652
1294,2652,2652,2652
1729,2652,2652,2652
768,2652,2652,2652
55,2652,2652,2652
995,2652,2652,2652
2424,2652,2652,2652
1401,2652,2652,2652
885,2652,2652,2652
538,2652,2652,2652
1766,2652,2652,2652
2060,2652,2652,2652
2630,2652,2652,2652
902,2652,2652,2652
535,2652,2652,2652
1367,2652,2652,2652
1731,2652,2652,2652
359,2652,2652,2652
