id,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
45814,"2","2",872.86,13131.97,12259.11,14004.83,7002.415,7002.415,6129.555,872.86,872.86,872.86,13131.97,12259.11
45815,"1","1",13131.97,13131.97,0,13131.97,13131.97,13131.97,0,13131.97,13131.97,13131.97,13131.97,0
45804,"1","1",11520.94,11520.94,0,11520.94,11520.94,11520.94,0,11520.94,11520.94,11520.94,11520.94,0
45805,"1","1",11520.94,11520.94,0,11520.94,11520.94,11520.94,0,11520.94,11520.94,11520.94,11520.94,0
45796,"2","2",154.4,14238.55,14084.15,14392.95,7196.475,7196.475,7042.075,154.4,154.4,154.4,14238.55,14084.15
45797,"4","4",154.4,14238.55,14084.15,25306.26,6326.565,5456.655,5673.57905514015,154.4,154.4,983.805,11669.325,10685.52
45798,"2","2",67.5,2937.55,2870.05,3005.05,1502.525,1502.525,1435.025,67.5,67.5,67.5,2937.55,2870.05
45799,"3","3",1437.25,4586.46,3149.21,8961.26,2987.08666666667,2937.55,1286.13667418704,1437.25,1437.25,2187.4,3762.005,1574.605
85298,"2","2",2786.4,6782.67,3996.27,9569.07,4784.535,4784.535,1998.135,2786.4,2786.4,2786.4,6782.67,3996.27
85299,"2","2",2755.11,6782.67,4027.56,9537.78,4768.89,4768.89,2013.78,2755.11,2755.11,2755.11,6782.67,4027.56
85272,"1","1",7431.43,7431.43,0,7431.43,7431.43,7431.43,0,7431.43,7431.43,7431.43,7431.43,0
85360,"1","1",37.49,37.49,0,37.49,37.49,37.49,0,37.49,37.49,37.49,37.49,0
85352,"1","1",11155.07,11155.07,0,11155.07,11155.07,11155.07,0,11155.07,11155.07,11155.07,11155.07,0
85353,"2","2",11155.07,17994.82,6839.75,29149.89,14574.945,14574.945,3419.875,11155.07,11155.07,11155.07,17994.82,6839.75
85350,"1","1",1128.06,1128.06,0,1128.06,1128.06,1128.06,0,1128.06,1128.06,1128.06,1128.06,0
85351,"4","4",249.03,17177.81,16928.78,19769.12,4942.28,1171.14,7074.27550204613,249.03,249.03,688.545,9196.015,8507.47
85328,"2","2",9272.46,13721.85,4449.39,22994.31,11497.155,11497.155,2224.695,9272.46,9272.46,9272.46,13721.85,4449.39
85331,"1","1",1273.17,1273.17,0,1273.17,1273.17,1273.17,0,1273.17,1273.17,1273.17,1273.17,0
85327,"1","1",13721.85,13721.85,0,13721.85,13721.85,13721.85,0,13721.85,13721.85,13721.85,13721.85,0
19967,"6","6",37.44,8716.51,8679.07,10336.89,1722.815,136.765,3156.12074698645,37.44,37.44,63,1246.41,1183.41
19957,"1","1",800.8,800.8,0,800.8,800.8,800.8,0,800.8,800.8,800.8,800.8,0
85484,"1","1",900.32,900.32,0,900.32,900.32,900.32,0,900.32,900.32,900.32,900.32,0
19949,"1","1",714.85,714.85,0,714.85,714.85,714.85,0,714.85,714.85,714.85,714.85,0
85480,"2","2",1393.2,3410.33,2017.13,4803.53,2401.765,2401.765,1008.565,1393.2,1393.2,1393.2,3410.33,2017.13
85478,"1","1",12109.51,12109.51,0,12109.51,12109.51,12109.51,0,12109.51,12109.51,12109.51,12109.51,0
85479,"3","3",7.2,12109.51,12102.31,15173.8,5057.93333333333,3057.09,5139.32598482417,7.2,7.2,1532.145,7583.3,6051.155
19937,"2","2",2293.56,3062.41,768.85,5355.97,2677.985,2677.985,384.425,2293.56,2293.56,2293.56,3062.41,768.85
19938,"1","1",4160.21,4160.21,0,4160.21,4160.21,4160.21,0,4160.21,4160.21,4160.21,4160.21,0
19939,"2","2",4160.21,9064.49,4904.28,13224.7,6612.35,6612.35,2452.14,4160.21,4160.21,4160.21,9064.49,4904.28
19927,"3","3",57,6263.05,6206.05,10182.47,3394.15666666667,3862.42,2555.15388481572,57,57,1959.71,5062.735,3103.025
19906,"1","1",1570,1570,0,1570,1570,1570,0,1570,1570,1570,1570,0
85048,"1","1",11155.07,11155.07,0,11155.07,11155.07,11155.07,0,11155.07,11155.07,11155.07,11155.07,0
85049,"1","1",11155.07,11155.07,0,11155.07,11155.07,11155.07,0,11155.07,11155.07,11155.07,11155.07,0
85047,"2","2",1214.22,17177.81,15963.59,18392.03,9196.015,9196.015,7981.795,1214.22,1214.22,1214.22,17177.81,15963.59
85036,"1","1",5423.9,5423.9,0,5423.9,5423.9,5423.9,0,5423.9,5423.9,5423.9,5423.9,0
85032,"1","1",1105.84,1105.84,0,1105.84,1105.84,1105.84,0,1105.84,1105.84,1105.84,1105.84,0
85033,"1","1",1105.84,1105.84,0,1105.84,1105.84,1105.84,0,1105.84,1105.84,1105.84,1105.84,0
85030,"1","1",6026,6026,0,6026,6026,6026,0,6026,6026,6026,6026,0
85023,"1","1",13721.85,13721.85,0,13721.85,13721.85,13721.85,0,13721.85,13721.85,13721.85,13721.85,0
84996,"2","2",2862.97,8479.7,5616.73,11342.67,5671.335,5671.335,2808.365,2862.97,2862.97,2862.97,8479.7,5616.73
84992,"3","3",36,4799.94,4763.94,6466.04,2155.34666666667,1630.1,1980.01584615432,36,36,833.05,3215.02,2381.97
84993,"5","5",120.99,2708.54,2587.55,7526.99,1505.398,1630.1,855.605745034475,120.99,120.99,1160.17,1907.19,747.02
84994,"2","2",2708.54,11992.77,9284.23,14701.31,7350.655,7350.655,4642.115,2708.54,2708.54,2708.54,11992.77,9284.23
84995,"2","2",2755.11,8479.7,5724.59,11234.81,5617.405,5617.405,2862.295,2755.11,2755.11,2755.11,8479.7,5724.59
85056,"1","1",12907.58,12907.58,0,12907.58,12907.58,12907.58,0,12907.58,12907.58,12907.58,12907.58,0
85180,"3","3",900.32,9407.68,8507.36,12876.26,4292.08666666667,2568.26,3680.8040176872,900.32,900.32,1734.29,5987.97,4253.68
85181,"1","1",2568.26,2568.26,0,2568.26,2568.26,2568.26,0,2568.26,2568.26,2568.26,2568.26,0
85176,"2","2",15.6,1393.2,1377.6,1408.8,704.4,704.4,688.8,15.6,15.6,15.6,1393.2,1377.6
85179,"2","2",1219.35,9407.68,8188.33,10627.03,5313.515,5313.515,4094.165,1219.35,1219.35,1219.35,9407.68,8188.33
19642,"1","1",7810.67,7810.67,0,7810.67,7810.67,7810.67,0,7810.67,7810.67,7810.67,7810.67,0
85175,"1","1",3057.09,3057.09,0,3057.09,3057.09,3057.09,0,3057.09,3057.09,3057.09,3057.09,0
19629,"1","1",936.64,936.64,0,936.64,936.64,936.64,0,936.64,936.64,936.64,936.64,0
19630,"1","1",999.38,999.38,0,999.38,999.38,999.38,0,999.38,999.38,999.38,999.38,0
19621,"1","1",3659.82,3659.82,0,3659.82,3659.82,3659.82,0,3659.82,3659.82,3659.82,3659.82,0
85159,"1","1",8850.69,8850.69,0,8850.69,8850.69,8850.69,0,8850.69,8850.69,8850.69,8850.69,0
19623,"6","6",36,6263.05,6227.05,11398.97,1899.82833333333,596.25,2371.77931210879,36,36,45,3862.42,3817.42
19619,"1","1",2039.05,2039.05,0,2039.05,2039.05,2039.05,0,2039.05,2039.05,2039.05,2039.05,0
85232,"2","2",121.44,11031.08,10909.64,11152.52,5576.26,5576.26,5454.82,121.44,121.44,121.44,11031.08,10909.64
85233,"2","2",121.44,11031.08,10909.64,11152.52,5576.26,5576.26,5454.82,121.44,121.44,121.44,11031.08,10909.64
85228,"4","4",8.6,5285.88,5277.28,9061.54,2265.385,1883.53,1946.84907578246,8.6,8.6,660.41,3870.36,3209.95
85229,"2","2",1359.77,5285.88,3926.11,6645.65,3322.825,3322.825,1963.055,1359.77,1359.77,1359.77,5285.88,3926.11
19692,"1","1",7385.64,7385.64,0,7385.64,7385.64,7385.64,0,7385.64,7385.64,7385.64,7385.64,0
85231,"1","1",1481.62,1481.62,0,1481.62,1481.62,1481.62,0,1481.62,1481.62,1481.62,1481.62,0
19694,"1","1",7320,7320,0,7320,7320,7320,0,7320,7320,7320,7320,0
85227,"6","6",36,3676.8,3640.8,8409.53,1401.58833333333,739.39,1494.95324886117,36,36,68.1,3149.85,3081.75
19690,"1","1",4622.08,4622.08,0,4622.08,4622.08,4622.08,0,4622.08,4622.08,4622.08,4622.08,0
19691,"2","2",4622.08,7385.64,2763.56,12007.72,6003.86,6003.86,1381.78,4622.08,4622.08,4622.08,7385.64,2763.56
85222,"1","1",702.81,702.81,0,702.81,702.81,702.81,0,702.81,702.81,702.81,702.81,0
85200,"1","1",11455.69,11455.69,0,11455.69,11455.69,11455.69,0,11455.69,11455.69,11455.69,11455.69,0
85201,"2","2",3109.5,11455.69,8346.19,14565.19,7282.595,7282.595,4173.095,3109.5,3109.5,3109.5,11455.69,8346.19
19665,"1","1",11196.98,11196.98,0,11196.98,11196.98,11196.98,0,11196.98,11196.98,11196.98,11196.98,0
19666,"1","1",11196.98,11196.98,0,11196.98,11196.98,11196.98,0,11196.98,11196.98,11196.98,11196.98,0
85196,"1","1",5960.43,5960.43,0,5960.43,5960.43,5960.43,0,5960.43,5960.43,5960.43,5960.43,0
85198,"1","1",7899.19,7899.19,0,7899.19,7899.19,7899.19,0,7899.19,7899.19,7899.19,7899.19,0
85199,"1","1",670.79,670.79,0,670.79,670.79,670.79,0,670.79,670.79,670.79,670.79,0
19663,"1","1",162,162,0,162,162,162,0,162,162,162,162,0
85820,"2","2",162,1597.27,1435.27,1759.27,879.635,879.635,717.635,162,162,162,1597.27,1435.27
85821,"3","3",4,8834.99,8830.99,10852.92,3617.64,2013.93,3779.37476470205,4,4,1008.965,5424.46,4415.495
85822,"1","1",28.8,28.8,0,28.8,28.8,28.8,0,28.8,28.8,28.8,28.8,0
85816,"2","2",6586.81,6834.86,248.049999999999,13421.67,6710.835,6710.835,124.025,6586.81,6586.81,6586.81,6834.86,248.049999999999
85817,"1","1",2395.87,2395.87,0,2395.87,2395.87,2395.87,0,2395.87,2395.87,2395.87,2395.87,0
85819,"1","1",1597.27,1597.27,0,1597.27,1597.27,1597.27,0,1597.27,1597.27,1597.27,1597.27,0
20272,"2","2",131.79,1246.41,1114.62,1378.2,689.1,689.1,557.31,131.79,131.79,131.79,1246.41,1114.62
20274,"1","1",1691.05,1691.05,0,1691.05,1691.05,1691.05,0,1691.05,1691.05,1691.05,1691.05,0
20271,"4","4",37.44,8716.51,8679.07,10111.89,2527.9725,678.97,3604.93915758904,37.44,37.44,74.485,4981.46,4906.975
20264,"1","1",11258.95,11258.95,0,11258.95,11258.95,11258.95,0,11258.95,11258.95,11258.95,11258.95,0
20265,"2","1",616.44,616.44,0,1232.88,616.44,616.44,0,616.44,616.44,616.44,616.44,0
20263,"2","2",3117.6,11258.95,8141.35,14376.55,7188.275,7188.275,4070.675,3117.6,3117.6,3117.6,11258.95,8141.35
20244,"1","1",9064.49,9064.49,0,9064.49,9064.49,9064.49,0,9064.49,9064.49,9064.49,9064.49,0
20241,"1","1",3062.41,3062.41,0,3062.41,3062.41,3062.41,0,3062.41,3062.41,3062.41,3062.41,0
20242,"1","1",1097.29,1097.29,0,1097.29,1097.29,1097.29,0,1097.29,1097.29,1097.29,1097.29,0
20243,"1","1",9064.49,9064.49,0,9064.49,9064.49,9064.49,0,9064.49,9064.49,9064.49,9064.49,0
85887,"1","1",36.03,36.03,0,36.03,36.03,36.03,0,36.03,36.03,36.03,36.03,0
85869,"1","1",34500.47,34500.47,0,34500.47,34500.47,34500.47,0,34500.47,34500.47,34500.47,34500.47,0
85844,"2","2",1925.1,3903.25,1978.15,5828.35,2914.175,2914.175,989.075,1925.1,1925.1,1925.1,3903.25,1978.15
20309,"1","1",4834.59,4834.59,0,4834.59,4834.59,4834.59,0,4834.59,4834.59,4834.59,4834.59,0
85843,"2","2",3903.25,5333.49,1430.24,9236.74,4618.37,4618.37,715.12,3903.25,3903.25,3903.25,5333.49,1430.24
85836,"3","3",29.7,7193.56,7163.86,7794.55,2598.18333333333,571.29,3256.93567262576,29.7,29.7,300.495,3882.425,3581.93
85839,"1","1",9027.21,9027.21,0,9027.21,9027.21,9027.21,0,9027.21,9027.21,9027.21,9027.21,0
20289,"1","1",616,616,0,616,616,616,0,616,616,616,616,0
85944,"2","2",292.5,8606.25,8313.75,8898.75,4449.375,4449.375,4156.875,292.5,292.5,292.5,8606.25,8313.75
85945,"1","1",1361.25,1361.25,0,1361.25,1361.25,1361.25,0,1361.25,1361.25,1361.25,1361.25,0
85946,"1","1",1984.75,1984.75,0,1984.75,1984.75,1984.75,0,1984.75,1984.75,1984.75,1984.75,0
85947,"1","1",1984.75,1984.75,0,1984.75,1984.75,1984.75,0,1984.75,1984.75,1984.75,1984.75,0
85920,"3","3",24,7523.25,7499.25,7614.75,2538.25,67.5,3524.9720388962,24,24,45.75,3795.375,3749.625
85917,"1","1",3121.72,3121.72,0,3121.72,3121.72,3121.72,0,3121.72,3121.72,3121.72,3121.72,0
85918,"1","1",3121.72,3121.72,0,3121.72,3121.72,3121.72,0,3121.72,3121.72,3121.72,3121.72,0
85919,"2","2",24,67.5,43.5,91.5,45.75,45.75,21.75,24,24,24,67.5,43.5
85912,"2","2",1670.13,3117.84,1447.71,4787.97,2393.985,2393.985,723.855,1670.13,1670.13,1670.13,3117.84,1447.71
85888,"1","1",36,36,0,36,36,36,0,36,36,36,36,0
85890,"1","1",2838.96,2838.96,0,2838.96,2838.96,2838.96,0,2838.96,2838.96,2838.96,2838.96,0
85891,"1","1",1190.4,1190.4,0,1190.4,1190.4,1190.4,0,1190.4,1190.4,1190.4,1190.4,0
85973,"1","1",17716.1,17716.1,0,17716.1,17716.1,17716.1,0,17716.1,17716.1,17716.1,17716.1,0
85974,"1","1",17716.1,17716.1,0,17716.1,17716.1,17716.1,0,17716.1,17716.1,17716.1,17716.1,0
85565,"1","1",34500.47,34500.47,0,34500.47,34500.47,34500.47,0,34500.47,34500.47,34500.47,34500.47,0
85566,"1","1",34500.47,34500.47,0,34500.47,34500.47,34500.47,0,34500.47,34500.47,34500.47,34500.47,0
85540,"1","1",1925.1,1925.1,0,1925.1,1925.1,1925.1,0,1925.1,1925.1,1925.1,1925.1,0
85541,"1","1",962.29,962.29,0,962.29,962.29,962.29,0,962.29,962.29,962.29,962.29,0
85542,"1","1",962.29,962.29,0,962.29,962.29,962.29,0,962.29,962.29,962.29,962.29,0
85539,"2","2",1925.1,5333.49,3408.39,7258.59,3629.295,3629.295,1704.195,1925.1,1925.1,1925.1,5333.49,3408.39
85532,"3","3",29.7,7193.56,7163.86,8135.88,2711.96,912.62,3189.40337697612,29.7,29.7,471.16,4053.09,3581.93
85533,"1","1",7193.56,7193.56,0,7193.56,7193.56,7193.56,0,7193.56,7193.56,7193.56,7193.56,0
19996,"1","1",7385.64,7385.64,0,7385.64,7385.64,7385.64,0,7385.64,7385.64,7385.64,7385.64,0
85535,"1","1",9027.21,9027.21,0,9027.21,9027.21,9027.21,0,9027.21,9027.21,9027.21,9027.21,0
85531,"3","3",912.62,7193.56,6280.94,9119.08,3039.69333333333,1012.9,2937.51257959671,912.62,912.62,962.76,4103.23,3140.47
